name,median_household_income,median_monthly_rent,msa
" TX Metro Area""",65394,1166,26420]
" MI Metro Area""",71860,1216,11460]
" GA Metro Area""",51503,885,12020]
" AL Metro Area""",46456,842,12220]
" MD Metro Area""",80469,1406,12580]
" MA-NH Metro Area""",88711,1721,14460]
" CO Metro Area""",83755,1535,14500]
" MA-CT Metro Area""",70869,1293,49340]
" IL-IN-WI Metro Area""",70760,1275,16980]
" OH Metro Area""",56203,899,17460]
" CO Metro Area""",79478,1480,19740]
" FL Metro Area""",56328,1319,33100]
" WI Metro Area""",60643,1021,33340]
" MN-WI Metro Area""",79578,1273,33460]
" PA-NJ-DE-MD Metro Area""",70747,1259,37980]
" PA Metro Area""",59710,875,38300]
" CA Metro Area""",73142,1461,40900]
" MO-IL Metro Area""",62790,979,41180]
" MA Metro Area""",57857,1089,44140]
" CA Metro Area""",84395,1755,46700]
" DC-VA-MD-WV Metro Area""",102180,1812,47900]
" VA-NC Metro Area""",65604,1256,47260]
" CA Metro Area""",72563,1700,31080]]
