Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1996,274.2,274.6,274.6,274.9,274.8,274.8,275.5,281.5,287.8,288.3,288.3,288.3,279.8,,
1997,289.3,289.3,289.3,289.3,289.5,289.5,290.5,295.9,301.3,301.8,301.8,301.7,294.1,,
1998,302.5,302.4,302.4,302.4,302.4,302.3,303.1,307.4,312.9,313.3,313.6,313.6,306.5,,
1999,314.1,314.5,314.5,314.5,314.5,314.1,314.9,319.5,325.5,326.0,326.1,326.1,318.7,,
2000,326.0,326.2,326.1,326.1,326.6,327.8,328.6,333.1,339.5,340.7,340.8,340.9,331.9,,
2001,340.8,341.0,340.9,340.9,341.4,341.7,342.7,351.9,359.9,361.1,361.8,361.9,348.8,,
2002,362.4,362.9,362.9,363.0,363.7,365.1,366.6,376.9,385.9,387.3,387.5,387.4,372.6,,
2003,388.6,389.4,389.6,390.0,390.6,392.0,395.1,412.8,422.6,424.9,425.1,425.5,403.9,,
2004,428.4,428.9,429.3,429.4,430.5,431.6,433.8,447.6,460.4,461.3,462.0,462.2,442.1,,
2005,462.4,463.0,463.2,463.2,465.2,466.6,468.1,480.4,491.9,492.1,492.6,492.8,475.1,,
2006,493.5,493.5,493.5,493.8,495.2,496.4,499.7,514.3,523.9,525.4,527.2,527.2,507.0,,
2007,526.174,526.636,526.508,526.172,527.057,527.625,530.862,544.923,552.903,557.222,558.975,559.190,538.687,,
2008,559.517,559.173,558.452,559.780,560.613,561.148,564.552,579.448,589.815,591.328,591.765,591.804,572.283,,
2009,592.071,591.782,591.115,591.571,593.848,594.178,597.671,617.211,627.302,628.981,627.294,627.061,606.674,,
2010,626.472,625.578,626.817,627.711,628.329,628.660,632.236,648.857,654.649,653.037,653.414,652.495,638.188,,
2011,654.725,655.271,655.150,654.936,656.645,656.413,662.041,683.007,691.049,690.238,691.764,691.768,670.251,,
2012,691.260,690.527,690.570,690.168,691.213,691.295,697.731,711.449,718.908,720.332,719.962,719.677,702.758,,
2013,722.477,721.998,721.916,721.857,722.134,722.695,727.001,741.147,745.701,746.810,747.794,747.746,732.440,,
2014,747.922,749.968,749.950,750.429,751.029,752.627,755.393,765.780,770.737,773.055,773.641,773.407,759.495,,
2015,775.175,775.041,775.426,776.190,776.379,778.244,781.714,791.039,799.221,800.426,800.652,800.690,785.850,,
2016,799.117,799.623,799.161,799.719,800.455,801.542,802.771,809.626,816.562,818.267,817.800,819.362,807.000,,
2017,815.911,815.947,814.019,814.222,814.190,817.117,818.581,824.932,833.581,835.999,836.506,836.546,823.129,,
2018,833.625,832.620,828.234,828.112,828.332,831.156,835.314,847.084,853.208,858.998,859.711,859.588,841.332,830.347,852.317
2019,858.041,858.687,860.066,860.065,859.922,859.798,859.365,868.320,873.995,876.145,875.756,874.088,865.354,859.430,871.278
2020,874.769,874.821,874.617,874.234,874.153,874.774,877.356,879.662,880.234,881.128,880.819,880.584,877.263,874.561,879.964
2021,878.569,878.405,877.503,876.996,877.052,878.506,879.192,886.919,895.395,896.770,897.128,896.184,884.885,877.839,891.931
2022,895.257,895.553,895.552,895.552,895.552,898.003,899.856,911.691,914.023,915.107,915.423,916.495,904.005,895.912,912.099
2023,916.002,915.969,916.072,,,,,,,,,,,,
